Date,Ticker,Open,High,Low,Close,Adj Close,Volume,RSI,L3,H3,BullishEngulfing,BearishEngulfing
2025-12-02,AR,35.78,35.78,34.675,34.72,34.72,4077473.0,47.7653631284916,34.29,36.67,False,False
2025-12-03,AR,35.125,36.67,35.02,36.4,36.4,6769655.0,58.304794520547944,34.675,36.67,False,False
2025-12-04,AR,36.6,37.13,36.165,36.6,36.6,3858778.0,59.608843537414955,34.675,36.67,False,False
2025-10-27,ARE,78.0,78.0,76.915,77.87,77.87,1404034.0,49.11147011308562,76.69,78.51,False,False
2025-10-28,ARE,69.78,69.78,62.56,62.94,62.94,12272885.0,24.8772504091653,76.88,78.51,False,False
2025-10-29,ARE,62.0368,63.605,57.615,58.76,58.76,7089062.0,21.846927775781523,62.56,78.51,False,False
2025-10-30,ARE,55.44,58.055,55.02,56.37,56.37,7501164.0,20.46449007068327,57.615,78.0,False,False
2025-10-31,ARE,56.1,58.695,55.3,58.22,58.22,4149914.0,25.166613773405274,55.02,69.78,False,False
2025-11-03,ARE,56.85,58.1,55.37,55.69,55.69,3765509.0,20.493300852618788,55.02,63.605,False,False
2025-11-04,ARE,55.12,55.7088,53.94,53.99,53.99,3128796.0,16.7365269461078,55.02,58.695,False,False
2025-11-05,ARE,54.275,54.85,53.08,54.47,54.47,3494157.0,18.449848024316125,53.94,58.695,False,False
2025-11-06,ARE,54.41,54.97,52.94,53.17,53.17,2332425.0,17.87396937573618,53.08,58.1,False,False
2025-11-07,ARE,53.175,55.65,52.95,55.61,55.61,2936855.0,19.532602423542983,52.94,55.7088,False,False
2025-11-10,ARE,55.97,56.35,54.22,54.26,54.26,2683083.0,18.664812239221135,52.94,55.65,False,False
2025-11-11,ARE,54.525,55.11,53.77,54.85,54.85,2059824.0,17.772778402699686,52.94,56.35,False,False
2025-11-12,ARE,54.42,54.91,53.7,53.78,53.78,2429421.0,17.66843723790889,52.95,56.35,False,False
2025-11-13,ARE,53.23,53.672,52.16,52.24,52.24,2308960.0,15.810920945395296,53.7,56.35,False,False
2025-11-14,ARE,52.16,52.73,51.63,52.29,52.29,1753278.0,14.862637362637358,52.16,55.11,False,False
2025-11-17,ARE,52.39,52.54,50.51,50.84,50.84,2921155.0,23.60383944153577,51.63,54.91,False,True
2025-11-18,ARE,50.63,51.1199,50.22,50.8,50.8,3171789.0,28.807241746538864,50.51,53.672,False,False
2025-11-19,ARE,51.0,51.0,49.3,49.51,49.51,2687865.0,30.59954751131221,50.22,52.73,False,True
2025-11-20,ARE,49.88,50.46,48.66,48.86,48.86,2482678.0,21.601941747572795,49.3,52.54,False,False
2025-11-21,ARE,49.06,51.75,48.99,50.89,50.89,2792703.0,34.98122653316645,48.66,51.1199,False,False
2025-11-24,ARE,51.155,51.58,50.6,51.22,51.22,2913764.0,40.52019164955508,48.66,51.75,False,False
2025-11-25,ARE,51.6,52.88,51.55,52.65,52.65,1924308.0,44.15167095115681,48.66,51.75,False,False
2025-11-26,ARE,52.29,54.17,52.27,53.57,53.57,2264298.0,51.31752305665349,48.99,52.88,False,False
2025-11-28,ARE,53.56,54.4513,53.4,53.67,53.67,1046532.0,42.445482866043626,50.6,54.17,False,False
2025-12-01,ARE,52.87,53.6,52.3901,53.1,53.1,2822587.0,45.190713101160874,51.55,54.4513,False,False
2025-12-02,ARE,53.27,54.17,52.96,53.83,53.83,2103528.0,45.81967213114752,52.27,54.4513,False,False
2025-12-03,ARE,52.13,52.57,47.57,48.42,48.42,7331311.0,33.7968561064087,52.3901,54.4513,False,False
2025-12-04,ARE,48.02,48.02,46.1034,46.59,46.59,4962931.0,33.21449792038028,47.57,54.17,False,False
2025-10-27,ARQT,20.33,20.6,19.6,19.64,19.64,1826475.0,42.965204236006045,19.66,20.73,False,False
2025-10-28,ARQT,22.5,25.75,22.0,24.95,24.95,12063173.0,66.48888888888891,19.6,20.6,False,False
2025-10-29,ARQT,25.835,25.99,23.48,25.29,25.29,5449157.0,70.70524412296564,19.6,25.75,False,False
2025-10-30,ARQT,25.89,27.0793,24.77,24.92,24.92,3060990.0,72.60909935004645,19.6,25.99,False,False
